id,year,gender,topik,inst,P_score,R_score,A_score,T_score,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21
0,1,F,L4,yes,2.25,2.5454545454545454,2.6666666666666665,2.487373737373737,1,2,3,3,3,2,2,3,4,3,2,2,3,3,1,2,3,3,3,2,3
1,1,F,L4,no,4.0,3.8181818181818183,3.3333333333333335,3.7171717171717176,3,5,4,4,4,3,3,4,4,3,4,5,4,4,4,3,4,3,3,4,3
2,3,F,L3,yes,3.25,3.0,3.3333333333333335,3.1944444444444446,3,3,3,4,3,3,2,3,4,2,3,3,3,4,3,5,3,3,4,2,3
3,3,M,L5,yes,5.0,4.0,3.8333333333333335,4.277777777777778,5,5,5,5,4,3,4,5,4,4,5,5,3,3,4,4,3,4,5,4,3
4,1,M,L4,no,3.75,2.727272727272727,3.1666666666666665,3.214646464646464,4,4,3,4,2,3,2,2,4,3,3,3,2,3,3,3,3,4,3,2,4
5,3,F,L4,no,4.5,3.8181818181818183,4.166666666666667,4.161616161616162,4,4,5,5,4,4,4,4,4,4,4,3,4,3,4,4,4,5,4,4,4
6,3,F,L4,no,1.25,1.8181818181818181,3.1666666666666665,2.0782828282828283,2,1,1,1,2,1,3,1,1,1,2,2,2,2,3,4,4,4,2,3,2
7,1,M,L4,yes,3.75,4.363636363636363,3.5,3.871212121212121,3,4,4,4,4,4,4,5,5,5,4,4,4,4,5,3,3,4,3,4,4
8,1,F,L4,yes,4.75,3.4545454545454546,3.0,3.734848484848485,5,4,5,5,3,4,4,3,3,3,4,4,4,4,2,3,4,2,2,3,4
9,1,F,L6,yes,4.25,3.272727272727273,2.3333333333333335,3.285353535353536,3,4,5,5,4,5,3,3,3,3,2,4,3,4,2,2,3,2,2,2,3
10,1,M,L5,yes,4.5,3.727272727272727,2.1666666666666665,3.464646464646464,4,5,4,5,5,3,5,4,4,3,3,4,3,3,4,1,2,2,3,2,3
11,1,F,L4,yes,3.5,3.0,2.1666666666666665,2.888888888888889,3,5,3,3,3,4,3,2,3,5,3,2,2,3,3,2,3,2,2,1,3
12,1,F,L4,yes,3.75,3.4545454545454546,3.0,3.401515151515152,4,4,4,3,5,3,3,4,4,3,2,3,3,4,4,3,3,3,3,3,3
13,2,F,L4,yes,4.25,4.2727272727272725,4.333333333333333,4.2853535353535355,4,4,5,4,4,4,4,5,5,5,5,4,3,4,4,4,5,4,4,4,5
14,3,F,L4,no,4.5,3.6363636363636362,4.166666666666667,4.101010101010101,4,5,5,4,5,2,3,3,3,3,4,5,5,3,4,5,4,4,4,3,5
15,1,F,L4,yes,4.5,3.909090909090909,2.5,3.6363636363636367,4,4,5,5,3,3,4,5,3,3,4,4,4,5,5,3,2,2,3,2,3
16,3,M,L5,yes,3.75,2.272727272727273,2.3333333333333335,2.785353535353536,4,4,3,4,1,2,3,2,2,2,3,3,3,2,2,2,3,3,2,2,2
17,1,M,L4,yes,4.75,4.0,3.0,3.9166666666666665,5,5,4,5,5,3,5,3,5,3,4,4,4,4,4,3,2,4,3,2,4
18,EX,M,L4,yes,2.75,3.0,2.1666666666666665,2.638888888888889,2,3,3,3,3,3,3,4,3,3,3,2,3,3,3,2,2,2,2,3,2
