subscale,year,n,raw_mean,post_mean,ci_lo,ci_hi
쓰기인식,1,54,3.9583333333333335,3.9293577671051025,2.731986474990845,5.047975528240204
쓰기인식,2,8,3.9375,3.9134085178375244,2.675896900892258,5.030298709869385
쓰기인식,3,9,3.861111111111111,3.9141576290130615,2.6660664558410643,5.037135875225067
쓰기인식,4,9,3.9722222222222223,3.93981671333313,2.7119762182235716,5.081120026111603
쓰기인식,EX,6,3.8333333333333335,3.9013078212738037,2.6583645761013033,5.065030908584595
쓰기반응,1,54,3.35016835016835,3.3940165042877197,2.345519119501114,4.501249730587006
쓰기반응,2,8,3.227272727272727,3.356902599334717,2.3273854851722717,4.497469031810761
쓰기반응,3,9,3.0909090909090904,3.307290554046631,2.2176281929016115,4.459631562232972
쓰기반응,4,9,3.5555555555555554,3.4453253746032715,2.3769821345806124,4.5597586870193485
쓰기반응,EX,6,3.3939393939393945,3.387934923171997,2.3116977870464326,4.514762961864472
수행태도,1,54,3.040123456790124,3.086676836013794,2.1044561207294463,4.080009317398072
수행태도,2,8,3.5833333333333335,3.4573488235473633,2.3974083781242372,4.508369743824006
수행태도,3,9,3.3518518518518516,3.31391978263855,2.312466037273407,4.358253037929535
수행태도,4,9,3.4629629629629632,3.3897011280059814,2.3767952144145967,4.443455862998963
수행태도,EX,6,2.972222222222222,3.1146793365478516,2.1112352550029754,4.135641050338745
쓰기태도,1,54,3.449541713430603,3.480595588684082,2.469586843252182,4.516176855564118
쓰기태도,2,8,3.5827020202020203,3.5290958881378174,2.472387742996216,4.54944840669632
쓰기태도,3,9,3.4346240179573515,3.4869627952575684,2.4276959121227266,4.525278913974763
쓰기태도,4,9,3.6635802469135803,3.5573694705963135,2.5128203094005586,4.556472957134248
쓰기태도,EX,6,3.39983164983165,3.480665922164917,2.4312563478946685,4.510524845123291
