PCM-SEM MCMC 진단 리포트
N=200, scenario=medium, elapsed=189.7s
chains=4, warmup=1000, sampling=1000
adapt_delta=0.9, max_treedepth=12

=== 파라미터 요약 ===
                     Mean      MCSE    StdDev       MAD        5%       50%       95%  ESS_bulk  ESS_tail  ESS_bulk/s     R_hat
b1               0.603576  0.001940  0.097723  0.095343  0.447001  0.602084  0.769351   2576.98   2733.54     7.52966  1.000260
b2               0.451445  0.001588  0.089195  0.090298  0.304421  0.452992  0.598910   3169.88   3701.59     9.26206  1.000560
g1               0.077304  0.002228  0.114043  0.112372 -0.108802  0.077387  0.263007   2646.40   3525.09     7.73248  1.000920
gamma_M          0.065309  0.002387  0.158861  0.158633 -0.195293  0.067554  0.324812   4467.33   3178.24    13.05310  1.000820
gamma_Y          0.008730  0.002713  0.162647  0.161254 -0.258912  0.005413  0.278518   3626.34   3380.54    10.59580  0.999888
alpha_M         -0.390056  0.002158  0.126400  0.127001 -0.592729 -0.389840 -0.181125   3472.45   3079.09    10.14610  1.002680
alpha_Y         -0.661109  0.002312  0.131467  0.130081 -0.880885 -0.660479 -0.441578   3252.42   3244.22     9.50322  1.001470
indirect_effect  0.272016  0.001129  0.068150  0.067244  0.167673  0.268786  0.389626   3671.44   3453.20    10.72750  1.000510
total_effect     0.349319  0.001888  0.101827  0.102396  0.183956  0.349109  0.517361   2946.12   2888.26     8.60824  1.000270
prop_mediated    0.831793  0.028253  1.775090  0.275705  0.427408  0.780947  1.533240   2776.22   3392.93     8.11182  1.001120

=== 전체 파라미터 요약 ===
                        Mean      MCSE     StdDev        MAD           5%          50%          95%   ESS_bulk  ESS_tail  ESS_bulk/s     R_hat
lp__            -5265.090000  0.531423  19.537200  19.851300 -5297.770000 -5264.840000 -5233.030000   1362.590  1875.360    3.981340  1.002740
delta_raw[1,1]     -2.117030  0.005682   0.402956   0.389828    -2.787200    -2.106740    -1.469130   5403.010  3116.790   15.787000  1.002580
delta_raw[1,2]     -1.306950  0.004109   0.268213   0.268069    -1.759360    -1.308170    -0.868511   4346.530  3108.770   12.700100  1.000430
delta_raw[1,3]     -0.269629  0.003179   0.212189   0.209250    -0.618746    -0.265072     0.074657   4543.300  3438.820   13.275000  1.001430
delta_raw[1,4]      0.612898  0.003114   0.207582   0.210432     0.270025     0.615953     0.951596   4529.360  3330.410   13.234300  1.001790
delta_raw[2,1]     -3.565560  0.008590   0.652488   0.627691    -4.689040    -3.518110    -2.588420   6497.690  2812.200   18.985500  1.000190
delta_raw[2,2]     -1.314140  0.003610   0.266791   0.269034    -1.765630    -1.307910    -0.876129   5554.440  2972.890   16.229500  1.001920
delta_raw[2,3]     -0.365126  0.003390   0.208089   0.207334    -0.718270    -0.364439    -0.021251   3881.330  3179.180   11.340800  1.002090
delta_raw[2,4]      0.495976  0.002892   0.205786   0.204038     0.156464     0.493204     0.832195   5149.470  3111.100   15.046200  1.000160
delta_raw[3,1]     -2.043840  0.005970   0.432622   0.421527    -2.768880    -2.035750    -1.333130   5430.110  2996.620   15.866200  1.002600
delta_raw[3,2]     -1.732060  0.004289   0.277852   0.281904    -2.190500    -1.728050    -1.285680   4289.290  3000.330   12.532800  1.002290
delta_raw[3,3]      0.000449  0.003248   0.208211   0.205180    -0.342031    -0.000039     0.345584   4183.520  2908.600   12.223800  1.001190
