PCM-SEM MCMC 진단 리포트
N=86, scenario=medium, elapsed=57.8s
chains=4, warmup=1000, sampling=1000
adapt_delta=0.9, max_treedepth=12

=== 파라미터 요약 ===
                     Mean      MCSE    StdDev       MAD        5%       50%       95%  ESS_bulk  ESS_tail  ESS_bulk/s    R_hat
b1               0.418832  0.002081  0.136157  0.138338  0.204162  0.417786  0.647506   4394.66   3278.51     37.3937  1.00043
b2               0.226468  0.002019  0.134596  0.135293  0.011975  0.224006  0.449761   4507.10   3710.00     38.3504  1.00035
g1               0.317681  0.002712  0.158244  0.154743  0.064512  0.316838  0.578353   3434.71   3101.12     29.2256  1.00113
gamma_M          0.543719  0.003025  0.242062  0.245128  0.145165  0.544415  0.943400   6460.12   3042.31     54.9685  1.00116
gamma_Y          0.088294  0.003226  0.256523  0.259783 -0.337207  0.088090  0.515691   6415.56   3392.27     54.5893  1.00046
alpha_M         -0.921106  0.002770  0.205340  0.203380 -1.261140 -0.917317 -0.581884   5567.08   2850.82     47.3697  1.00035
alpha_Y         -0.656547  0.003467  0.237387  0.235325 -1.045810 -0.654625 -0.264029   4714.45   3335.70     40.1148  1.00046
indirect_effect  0.093164  0.000963  0.064703  0.059088  0.003889  0.086017  0.206827   4824.29   3125.32     41.0494  1.00024
total_effect     0.410845  0.002464  0.146668  0.145896  0.175207  0.410863  0.649062   3570.29   3243.89     30.3792  1.00104
prop_mediated    0.256954  0.009782  0.604586  0.158940  0.005997  0.217897  0.678822   4148.14   2903.52     35.2961  1.00033

=== 전체 파라미터 요약 ===
                        Mean      MCSE     StdDev        MAD           5%          50%          95%   ESS_bulk  ESS_tail  ESS_bulk/s     R_hat
lp__            -2274.400000  0.385083  13.827000  13.591700 -2297.830000 -2273.810000 -2252.580000   1306.460  2359.930    11.11660  1.000770
delta_raw[1,1]     -2.199160  0.008311   0.712675   0.718230    -3.414960    -2.174980    -1.102980   7513.300  3554.400    63.92990  1.000510
delta_raw[1,2]     -1.801730  0.005792   0.430152   0.424034    -2.523610    -1.784280    -1.112240   5691.770  3261.930    48.43070  0.999881
delta_raw[1,3]     -0.290267  0.004252   0.328548   0.327096    -0.852031    -0.292829     0.253723   6076.390  3065.750    51.70340  1.001000
delta_raw[1,4]      0.450353  0.003932   0.321008   0.317270    -0.087571     0.453419     0.977496   6744.830  3414.580    57.39110  0.999840
delta_raw[2,1]     -2.911070  0.010169   0.794528   0.790663    -4.330930    -2.860480    -1.721470   7008.890  2202.560    59.63790  1.003370
