lp__,b1,b2,g1,gamma_M,gamma_Y,alpha_M,alpha_Y,indirect_effect,total_effect,prop_mediated
-574.14669,0.75875522,0.97005641,0.36335124,0.22663061,0.20124333,-5.9376872,-0.65574612,0.73603536,1.0993866,0.66949639
-570.52379,0.67077643,0.69408375,0.1998433,0.078937079,-0.11096319,-5.947438,-2.5365252,0.46557502,0.66541832,0.69967269
-580.40693,0.7806792,0.70219697,0.31632331,0.12864325,0.1687469,-5.5693631,-2.0155715,0.54819057,0.86451388,0.63410268
-583.30169,0.78071359,0.72286095,0.43957165,0.31999642,0.16109576,-5.8922561,-1.7468832,0.56434737,1.003919,0.56214431
-586.59238,0.72998247,0.64369056,0.13569442,-0.032784977,-0.10957064,-6.0249489,-2.6986898,0.46988283,0.60557725,0.77592549
-588.30992,0.90110874,1.0047762,0.31497416,0.42972121,0.31521528,-5.7786757,-0.29686568,0.90541265,1.2203868,0.74190629
-575.25345,0.53303526,0.6980033,0.21790022,0.041949137,-0.15719197,-6.4029568,-2.3445432,0.37206037,0.58996059,0.63065292
-601.38802,0.86836833,0.77859277,-0.070905335,0.5033341,0.06503419,-5.8357986,-2.0057753,0.67610531,0.60519997,1.1171602
-593.70942,0.49094293,0.75487289,0.092222924,-0.072336146,0.19441633,-6.76312,-1.7836764,0.37059951,0.46282243,0.800738
-592.03901,0.6575437,0.63958112,0.24646908,0.46264348,-0.026293234,-5.9031512,-2.528368,0.42055254,0.66702162,0.63049311
-597.07296,0.66236111,0.70215091,0.35932563,0.64980019,-0.056452057,-5.8480735,-1.757164,0.46507746,0.82440309,0.56413842
-588.98405,0.63276824,0.93260691,-0.090954507,-0.17899623,0.27363257,-5.6326354,-1.3955741,0.59012404,0.49916953,1.1822117
-576.83537,0.78530611,1.0382246,0.21652726,0.032613555,0.074126253,-5.3290195,0.27142321,0.81532409,1.0318514,0.79015654
-585.31151,0.70562868,0.64479065,0.078935455,0.39168468,0.1420187,-6.290706,-2.9461418,0.45498278,0.53391823,0.85215816
-581.03099,0.78390605,0.74208027,0.39874126,0.1076894,-0.037422762,-5.6923898,-1.7236026,0.58172121,0.98046247,0.59331308
-579.46964,0.61521292,0.83067987,0.25586556,0.3066121,-0.033312636,-6.066753,-1.2690433,0.51104499,0.76691055,0.66636844
-581.25599,0.88873326,0.69861354,0.30511271,0.071067439,0.2035602,-5.9652664,-2.3156547,0.62088108,0.92599379,0.67050242
-569.10845,0.85950998,0.63973408,0.15735069,0.24118674,0.35037127,-6.0382073,-2.7558099,0.54985782,0.70720851,0.77750454
-580.05271,0.82919337,0.84683784,0.4299932,0.14305272,-0.19141063,-5.5919114,-0.53896222,0.70219232,1.1321855,0.62020959
-590.81299,0.70486749,0.7237777,0.18515303,0.35665284,-0.027311312,-5.7907659,-1.9947354,0.51016738,0.69532041,0.73371552
-589.65513,0.69629885,0.72203348,0.20726908,0.3851053,-0.033208604,-5.8349703,-2.0764867,0.50275108,0.71002016,0.70808
-584.53828,0.58045162,0.91375556,0.27050809,0.023528195,0.14249233,-5.4822269,-1.2015987,0.53039089,0.80089898,0.66224443
-583.7009,0.74990554,0.82751741,0.32988256,0.24215487,0.21535231,-5.3694471,-1.7081575,0.62055989,0.95044246,0.65291685
-565.97693,0.80094814,0.80912217,0.30805719,0.46771279,0.19379707,-5.0953878,-1.8871792,0.6480649,0.95612209,0.67780559
-591.45719,0.76736949,0.8392578,0.25387371,0.61884686,0.20399886,-5.1119848,-1.6211396,0.64402083,0.89789454,0.71725665
-579.47602,0.58745917,0.42615834,0.36999143,-0.16651677,-0.069507461,-5.3994502,-3.8764785,0.25035063,0.62034206,0.40356868
-556.24991,0.58250699,0.60581011,0.45556459,0.48062014,0.057122871,-5.1772012,-2.6891148,0.35288862,0.80845321,0.43649851
-562.78602,0.77466052,0.93461727,0.16627861,-0.040549751,0.16893208,-5.5735689,-0.82391522,0.72401111,0.89028972,0.8132309
-567.25058,0.5895054,0.74560786,0.31617133,0.43601995,-0.0074798388,-6.0930517,-2.0902967,0.43953986,0.75571119,0.58162412
-577.01347,0.70607345,0.71630999,0.42345264,0.17701697,0.018035941,-6.1000849,-1.0358269,0.50576747,0.92922011,0.54429242
-557.33922,1.0263098,0.68338584,0.19880092,0.28724954,0.12314072,-5.8260138,-1.7246331,0.70136555,0.90016647,0.77915094
-578.23769,0.80490237,0.7476407,0.15273771,0.0029080226,0.10115346,-5.9989708,-1.1454291,0.60177778,0.75451548,0.79756849
-587.13172,0.95300766,0.61793001,0.46627598,0.49595695,0.1039566,-5.3147895,-2.1003833,0.58889203,1.055168,0.55810262
-596.49342,0.98322756,0.59813631,0.04050877,0.21483315,0.21902478,-5.2590573,-2.9327373,0.5881041,0.62861287,0.93555848
-579.97259,0.791794,0.73706082,0.35125461,0.14583585,-0.06447782,-5.0794583,-1.7258622,0.58360034,0.93485495,0.62426833
-574.01035,0.72421263,0.77539819,0.50866055,0.61040703,0.088173555,-5.304991,-1.2356506,0.56155316,1.0702137,0.52471124
-576.5694,0.91371284,0.89167136,0.24997579,-0.19947287,0.21464908,-4.5585633,-1.4069919,0.81473157,1.0647074,0.76521643
-583.5981,0.41196716,0.81563785,0.33336429,-0.062220497,0.58654153,-5.431477,-1.9450826,0.33601601,0.6693803,0.50198073
-590.34679,0.71499209,0.65321176,0.27971575,0.21833495,-0.42599015,-5.7666089,-2.8754721,0.46704124,0.74675699,0.62542601
-588.86657,0.7836328,0.76138158,0.03340711,0.18972433,0.59218121,-5.205316,-3.0553214,0.59664358,0.63005069,0.94697711
-623.43002,0.84215784,0.6553037,0.17521067,0.26030958,0.52925849,-5.1125865,-3.5473684,0.55186915,0.72707982,0.75902141
-599.49193,0.9711475,0.82711886,0.023696345,0.29096454,-0.044644398,-4.9516376,-2.4532798,0.80325441,0.82695076,0.97134491
-576.60523,0.76558599,0.91839626,0.3130207,0.633399,0.12312078,-5.5380622,-1.3529243,0.70311131,1.016132,0.69194879
-584.50148,0.66085285,0.66235547,0.30047619,-0.19986052,0.075375577,-5.8939798,-2.5640063,0.43771951,0.7381957,0.59295862
-583.60698,0.67740826,0.68203013,0.37778599,0.43389925,0.10115202,-6.10191,-2.363968,0.46201284,0.83979883,0.55014704
-574.91566,0.73732711,0.76105083,0.44682512,0.22348402,0.013760658,-5.7298941,-1.1263935,0.56114341,1.0079685,0.55670727
-578.65652,0.48063161,0.70855396,0.37169239,0.19818844,0.1565978,-6.1717462,-2.0841835,0.34055343,0.71224582,0.4781403
-566.47355,0.9961854,0.7781875,0.44169362,0.47657585,0.24267612,-5.2470762,-1.7451844,0.77521902,1.2169126,0.63703753
-576.65413,0.54212699,0.74212351,0.34067764,-0.088770778,-0.019911057,-5.9000422,-1.9333846,0.40232519,0.74300282,0.54148541
-593.31684,0.72058709,0.71483921,0.14574704,0.72595241,0.090527043,-5.5795665,-2.6833584,0.51510391,0.66085095,0.7794555
-591.65276,0.73739179,0.71581691,0.34814687,0.57890762,0.08915354,-5.4101709,-2.2336873,0.52783751,0.87598438,0.60256498
-576.71743,0.67796831,0.87022323,0.4534177,-0.17287782,-0.0080601706,-5.4505426,-0.76092695,0.58998377,1.0434015,0.56544273
-597.45832,0.55783375,0.89732643,0.45811954,-0.1587729,-0.16389002,-5.4344616,-0.73180484,0.50055896,0.95867851,0.52213433
-586.98175,0.60175802,0.88279378,0.54996068,-0.09747963,0.0068909069,-5.193048,-0.56811881,0.53122824,1.0811889,0.49133711
