N,scenario,beta1,beta2,gamma1,b1_comp,b1_comp_lo,b1_comp_hi,b2_comp,b2_comp_lo,b2_comp_hi,g1_comp,g1_comp_lo,g1_comp_hi,ind_comp,ind_comp_lo,ind_comp_hi,tot_comp,b1_oracle,b1_oracle_lo,b1_oracle_hi,b2_oracle,b2_oracle_lo,b2_oracle_hi,g1_oracle,g1_oracle_lo,g1_oracle_hi,ind_oracle,ind_oracle_lo,ind_oracle_hi,tot_oracle,b1_comp_cov,b1_comp_sig,b1_oracle_cov,b1_oracle_sig,b2_comp_cov,b2_comp_sig,b2_oracle_cov,b2_oracle_sig,g1_comp_cov,g1_comp_sig,g1_oracle_cov,g1_oracle_sig,ind_comp_cov,ind_comp_sig,ind_oracle_cov,ind_oracle_sig
50,small,0.3,0.3,0.0,0.19692604272528347,-0.0461919007488312,0.4400439861993981,0.212110430994366,-0.10778796745800173,0.5320088294467338,0.08229354866082517,-0.19693862714776528,0.3615257244694156,0.04177006779647481,-0.03964111316665682,0.12318124875960644,0.12406361645729998,0.2408620479297749,-0.012251638365453954,0.49397573422500374,0.29964476082142866,-0.017418496773967118,0.6167080184168244,-0.0014295942456281768,-0.29234021591373965,0.28948102742248333,0.07217305074287689,-0.03545821699524743,0.1798043184810012,0.07074345649724871,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.22579284243976527,-0.09599455914372668,0.5475802440232572,0.19745643213415898,-0.11365444201412556,0.5085673062824435,-0.18480419364620815,-0.5419492201255125,0.17234083283309626,0.044584249069586364,-0.05013528191919205,0.13930378005836477,-0.1402199445766218,0.30115394538289014,-0.014375935038779708,0.6166838258045599,0.32990342646865306,0.04607534411251096,0.6137315088247952,-0.04959503925140872,-0.3742958719039606,0.2751057934011431,0.09935171847636906,-0.035339703830854746,0.23404314078359287,0.04975667922496034,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,-0.05095032486004292,-0.3093686473933691,0.20746799767328328,-0.10525748148785974,-0.37645446526165993,0.16593950228594045,-0.020434062552883603,-0.2659557550244429,0.22508762991867573,0.005362902875756407,-0.02514595624933942,0.035871762000852236,-0.015071159677127195,0.1638627049914618,-0.11748816480427296,0.4452135747871966,0.0343147955680949,-0.23288960964784422,0.30151920078403405,0.008819742699831577,-0.2577576285387546,0.2753971139384178,0.005622915223017055,-0.039213690823152944,0.050459521269187055,0.014442657922848632,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
50,small,0.3,0.3,0.0,0.19429740254981165,-0.08938329401080719,0.4779780991104305,0.20922209684530246,-0.11913189412024516,0.5375760878108501,0.0703580100215575,-0.26163994569794136,0.40235596574105637,0.04065130997306741,-0.04648604466803082,0.12778866461416563,0.1110093199946249,0.34101809411120226,0.02846686400571824,0.6535693242166862,0.0856008862089831,-0.16295701098175763,0.3341587833997238,0.21680741088581296,-0.06783849428121191,0.5014533160528378,0.029191451069217313,-0.059693497656419285,0.1180763997948539,0.24599886195503026,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.291587329940362,0.04228672389102517,0.5408879359896989,0.10241398858048001,-0.1925157952333001,0.3973437723942601,-0.04757379580446219,-0.3187498471362284,0.223602255527304,0.029862621478724892,-0.05984521501483273,0.11957045797228252,-0.0177111743257373,0.2799254705896295,-0.018901583216234474,0.5787525243954935,0.21642949343570225,-0.08027756631378904,0.5131365531851936,-0.15670842588652653,-0.4777652862720474,0.16434843449899436,0.06058412779946409,-0.044682820908994385,0.16585107650792255,-0.09612429808706244,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.17805433067332582,-0.1005076335454067,0.45661629489205835,0.35320755272622595,0.03830175541317571,0.6681133500392762,0.17286276820740198,-0.1390465973463738,0.4847721337611778,0.0628901343894316,-0.050355230011021365,0.17613549878988455,0.23575290259683357,0.2081142080468443,-0.07442533223108441,0.49065374832477304,0.19612441668405986,-0.12588561169770288,0.5181344450658226,0.06587952143491071,-0.25933040655721423,0.39108944942703566,0.04081627765685242,-0.04614107683776801,0.12777363215147286,0.10669579909176313,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.28971723525605086,0.022351452893665413,0.5570830176184363,0.29367348239710545,0.06271226769865704,0.5246346970955539,0.12658246603097467,-0.09953690195788306,0.3527018340198324,0.08508226938810591,-0.018080335935402023,0.18824487471161383,0.2116647354190806,0.21469571536843476,-0.03943429291273384,0.4688257236496034,0.31377901889224363,0.0954868909398329,0.5320711468446544,0.16992406926613304,-0.029693614293367726,0.36954175282563384,0.06736701092867585,-0.02512640291581056,0.15986042477316226,0.23729108019480888,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.07177495753524608,-0.20361697920899668,0.3471668942794889,0.25628700549098826,-0.01262565904991908,0.5251996700318956,0.022141747101318998,-0.237609489508389,0.281892983711027,0.018394988935951064,-0.05477593615895204,0.09156591403085418,0.040536736037270066,0.2101518567474087,-0.0795373817334544,0.4998410952282718,0.3054601513112282,0.03779192132787179,0.5731283812945847,0.011872876490963198,-0.26511913455992486,0.28886488754185125,0.06419301796039902,-0.04066111965378105,0.16904715557457908,0.07606589445136222,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.14323437536665667,-0.09814167698604356,0.38461042771935694,0.1000554796544284,-0.23110351034018856,0.43121446964904536,0.109767068624814,-0.1738192392214833,0.3933533764711113,0.014331384130313278,-0.03889636648861471,0.06755913474924127,0.12409845275512728,0.22350611166698517,-0.02739951966224438,0.4744117429962147,0.09366580567061145,-0.2823344925353112,0.46966610387653407,0.09376377201983381,-0.24675226495628705,0.4342798089959547,0.020934880021593813,-0.06632769387793834,0.10819745392112597,0.11469865204142762,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
50,small,0.3,0.3,0.0,0.19631817320772668,-0.09190559295626974,0.4845419393717231,0.19454427685472586,-0.1293640908667209,0.5184526445761726,-0.04185488682103866,-0.3745350371945456,0.2908252635524683,0.038192577040138,-0.046587577285246505,0.1229727313655225,-0.003662309780900659,0.15338431249385112,-0.1531168509724439,0.4598854759601462,0.22299725009113364,-0.09073180773523815,0.5367263079175054,-0.004150977770493912,-0.3439168795009495,0.33561492395996173,0.03420427989324791,-0.04938528997549123,0.11779384976198705,0.030053302122754,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
