scenario,N,method,param,true,bias,rmse,coverage,power
medium,50,comp,b1,0.5,-0.1217,0.1866,0.872,0.746
medium,50,comp,b2,0.4,-0.0417,0.143,0.94,0.7
medium,50,comp,g1,0.2,-0.0461,0.1543,0.942,0.172
medium,50,comp,ind,0.2,-0.0621,0.1004,0.774,0.308
medium,50,oracle,b1,0.5,-0.0095,0.1374,0.962,0.914
medium,50,oracle,b2,0.4,-0.0056,0.1439,0.948,0.75
medium,50,oracle,g1,0.2,0.0129,0.1679,0.94,0.272
medium,50,oracle,ind,0.2,-0.0056,0.0924,0.922,0.516
medium,86,comp,b1,0.5,-0.109,0.157,0.84,0.944
medium,86,comp,b2,0.4,-0.0461,0.1212,0.91,0.892
medium,86,comp,g1,0.2,-0.0421,0.1245,0.918,0.272
medium,86,comp,ind,0.2,-0.0614,0.0875,0.734,0.712
medium,86,oracle,b1,0.5,0.0,0.1132,0.944,0.992
medium,86,oracle,b2,0.4,-0.003,0.117,0.93,0.936
medium,86,oracle,g1,0.2,0.0026,0.1313,0.92,0.404
medium,86,oracle,ind,0.2,-0.0019,0.0738,0.926,0.882
medium,100,comp,b1,0.5,-0.1165,0.1493,0.806,0.974
medium,100,comp,b2,0.4,-0.0484,0.1165,0.912,0.92
medium,100,comp,g1,0.2,-0.0497,0.12,0.904,0.314
medium,100,comp,ind,0.2,-0.0652,0.0847,0.676,0.792
medium,100,oracle,b1,0.5,0.0008,0.0987,0.968,1.0
medium,100,oracle,b2,0.4,-0.0043,0.1053,0.936,0.956
medium,100,oracle,g1,0.2,-0.0013,0.1191,0.936,0.384
medium,100,oracle,ind,0.2,-0.0025,0.0652,0.95,0.936
medium,150,comp,b1,0.5,-0.1162,0.1414,0.716,0.992
medium,150,comp,b2,0.4,-0.0443,0.0945,0.924,0.986
medium,150,comp,g1,0.2,-0.0538,0.0997,0.902,0.402
medium,150,comp,ind,0.2,-0.0632,0.0772,0.628,0.968
medium,150,oracle,b1,0.5,0.0008,0.082,0.948,1.0
medium,150,oracle,b2,0.4,0.0006,0.0796,0.952,0.996
medium,150,oracle,g1,0.2,-0.003,0.0933,0.946,0.564
medium,150,oracle,ind,0.2,0.0007,0.0523,0.95,0.994
medium,200,comp,b1,0.5,-0.1147,0.1325,0.67,1.0
medium,200,comp,b2,0.4,-0.0439,0.083,0.89,1.0
medium,200,comp,g1,0.2,-0.0542,0.0907,0.884,0.492
medium,200,comp,ind,0.2,-0.0625,0.0729,0.56,1.0
medium,200,oracle,b1,0.5,0.0003,0.07,0.946,1.0
medium,200,oracle,b2,0.4,-0.0014,0.0713,0.95,1.0
medium,200,oracle,g1,0.2,-0.0017,0.0772,0.956,0.716
medium,200,oracle,ind,0.2,-0.0005,0.0464,0.934,1.0
medium,300,comp,b1,0.5,-0.1184,0.1312,0.476,1.0
medium,300,comp,b2,0.4,-0.0445,0.0701,0.878,1.0
medium,300,comp,g1,0.2,-0.0537,0.0782,0.878,0.712
medium,300,comp,ind,0.2,-0.0644,0.0705,0.438,1.0
medium,300,oracle,b1,0.5,0.0002,0.059,0.942,1.0
medium,300,oracle,b2,0.4,-0.0017,0.0565,0.95,1.0
medium,300,oracle,g1,0.2,0.0009,0.0655,0.946,0.876
medium,300,oracle,ind,0.2,-0.0008,0.0369,0.966,1.0
small,50,comp,b1,0.3,-0.0867,0.1594,0.924,0.336
